"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"Adenosine","Adenosine","HMDB0000050","60961","16335","C00212","86","NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1","1"
"Hexadecanedioic acid","Hexadecanedioic acid","HMDB0000672","10459","73722","C19615","5642","OC(=O)CCCCCCCCCCCCCCC(O)=O","1"
"Guanosine monophosphate (GMP)","NA","NA","NA","NA","NA","NA","NA","0"
"Orotate","Orotic acid","HMDB0000226","967","16742","C00295","318","OC(=O)C1=CC(=O)NC(=O)N1","1"
"FAICAR","Phosphoribosyl formamidocarboxamide","HMDB0001439","166760","18381","C04734","6247","NC(=O)C1=C(NC=O)N(C=N1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O","1"
"palmitic acid","Palmitic acid","HMDB0000220","985","15756","C00249","187","CCCCCCCCCCCCCCCC(O)=O","1"
"fructose","D-Fructose","HMDB0000660","439709","28645","C00095","135","OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O","1"
"D-fructose-6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","15946","C00085","5159","OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O","1"
"Unknown 005","NA","NA","NA","NA","NA","NA","NA","0"
"Unknown 044","NA","NA","NA","NA","NA","NA","NA","0"
"Unknown 010","NA","NA","NA","NA","NA","NA","NA","0"
"N-Acetyl-L-tyrosine","N-Acetyl-L-tyrosine","HMDB0000866","68310","21563","C01657",NA,"CC(=O)N[C@@H](CC1=CC=C(O)C=C1)C(O)=O","1"
"Adenosine triphosphate (ATP)","NA","NA","NA","NA","NA","NA","NA","0"
"Arginine","L-Arginine","HMDB0000517","6322","16467","C00062","5502","N[C@@H](CCCNC(N)=N)C(O)=O","1"
"Unknown 043","NA","NA","NA","NA","NA","NA","NA","0"
"(-)-Camphor","(-)-Camphor",NA,"4067","15397 36773","C00809",NA,NA,"1"
"2-hydroxybutyric acid","2-Hydroxybutyric acid","HMDB0000008","440864","50613","C05984","3783","CC[C@H](O)C(O)=O","1"
"sarcosine","Sarcosine","HMDB0000271","1088","15611","C00213","51","CNCC(O)=O","1"
"Unknown 026","NA","NA","NA","NA","NA","NA","NA","0"
"citricacid","NA","NA","NA","NA","NA","NA","NA","0"
"L-aspartic acid","L-Aspartic acid","HMDB0000191","5960","17053","C00049","5206","N[C@@H](CC(O)=O)C(O)=O","1"
"Methylimidazoleacetic acid","Methylimidazoleacetic acid","HMDB0002820","75810","1606","C05828","3774","CN1C=NC(CC(O)=O)=C1","1"
"phenylalanine","Phenylalanine","HMDB0000159","6140","17295","C00079","28","N[C@@H](CC1=CC=CC=C1)C(O)=O","1"
"propylene glycol","Propylene glycol","HMDB0001881","259994","28972","C00583","3220","C[C@@H](O)CO","1"
"1,7-Dimethyluric acid","1,7-Dimethyluric acid","HMDB0011103","91611","68449","C16356",NA,"CN1C(=O)NC2=C1C(=O)N(C)C(=O)N2","1"
